市場・商品区分,銘柄コード,銘柄名,現在のステージ,最新終値,最新出来高
プライム（内国株式）,1301.T,極洋,1,4980.0,73300
ETF・ETN,1305.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,1,3300.0,252650
ETF・ETN,1306.T,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,1,3266.0,2660710
ETF・ETN,1308.T,上場インデックスファンドＴＯＰＩＸ,1,3226.0,603619
ETF・ETN,1309.T,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,1,48810.0,288
グロース（内国株式）,130A.T,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,3,707.0,32200
ETF・ETN,1311.T,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,1,1637.0,67290
ETF・ETN,1319.T,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,1,600.0,16000
ETF・ETN,1320.T,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,1,46280.0,97934
ETF・ETN,1321.T,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,1,46390.0,736036
ETF・ETN,1322.T,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,1,10030.0,1679
ETF・ETN,1325.T,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,1,226.39999389648438,24600
ETF・ETN,1326.T,ＳＰＤＲゴールド・シェア,1,49650.0,26080
ETF・ETN,1328.T,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,1,12900.0,45520
ETF・ETN,1329.T,ｉシェアーズ・コア　日経２２５　ＥＴＦ,1,4655.0,876656
ETF・ETN,1330.T,上場インデックスファンド２２５,1,46460.0,82912
プライム（内国株式）,1332.T,ニッスイ,1,1044.5,3072900
プライム（内国株式）,1333.T,マルハニチロ,1,3439.0,267900
ETF・ETN,133A.T,グローバルＸ　超短期米国債　ＥＴＦ,2,999.0,71351
ETF・ETN,1343.T,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,1,2085.5,864440
ETF・ETN,1345.T,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,1,1942.5,133700
ETF・ETN,1346.T,ＭＡＸＩＳ　日経２２５上場投信,1,46470.0,40812
ETF・ETN,1348.T,ＭＡＸＩＳ　トピックス上場投信,1,3258.0,227520
ETF・ETN,1349.T,ＡＢＦ汎アジア債券インデックス・ファンド,1,17060.0,110
ETF・ETN,1356.T,ＴＯＰＩＸベア２倍上場投信,4,209.8000030517578,4255050
ETF・ETN,1357.T,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,4,7746.0,5085715
ETF・ETN,1358.T,上場インデックスファンド日経レバレッジ指数,1,65400.0,32779
グロース（内国株式）,135A.T,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,1,2825.0,216500
ETF・ETN,1360.T,日経平均ベア２倍上場投信,4,190.1999969482422,170997680
ETF・ETN,1364.T,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,1,2880.0,8376
ETF・ETN,1365.T,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,1,53370.0,69517
ETF・ETN,1366.T,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,4,195.0,5535505
ETF・ETN,1367.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,1,46620.0,14529
ETF・ETN,1368.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,4,304.0,812926
ETF・ETN,1369.T,Ｏｎｅ　ＥＴＦ　日経２２５,1,45150.0,13989
プライム（内国株式）,1375.T,ユキグニファクトリー,4,1078.0,70600
スタンダード（内国株式）,1376.T,カネコ種苗,1,1452.0,16600
プライム（内国株式）,1377.T,サカタのタネ,1,3665.0,168400
プライム（内国株式）,1379.T,ホクト,1,1924.0,64000
グロース（内国株式）,137A.T,Ｃｏｃｏｌｉｖｅ,2,1384.0,13000
スタンダード（内国株式）,1380.T,秋川牧園,4,1014.0,106400
スタンダード（内国株式）,1381.T,アクシーズ,1,3050.0,600
スタンダード（内国株式）,1382.T,ホーブ,1,2917.0,150100
スタンダード（内国株式）,1383.T,ベルグアース,1,2996.0,2300
スタンダード（内国株式）,1384.T,ホクリヨウ,1,2435.0,71400
グロース（内国株式）,138A.T,光フードサービス,1,2403.0,2700
ETF・ETN,1397.T,ＳＭＤＡＭ　日経２２５上場投信,1,45540.0,1341
ETF・ETN,1398.T,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,1,1971.0,657350
ETF・ETN,1399.T,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,1,2536.0,325
グロース（内国株式）,1401.T,エムビーエス,1,1499.0,16900
スタンダード（内国株式）,1407.T,ウエストホールディングス,1,1782.0,384900
ETF・ETN,140A.T,ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース,4,1946.0,4
プライム（内国株式）,1414.T,ショーボンドホールディングス,3,4936.0,352900
プライム（内国株式）,1417.T,ミライト・ワン,1,2906.5,369400
スタンダード（内国株式）,1418.T,インターライフホールディングス,2,428.0,48700
プライム（内国株式）,1419.T,タマホーム,2,3670.0,100800
グロース（内国株式）,141A.T,トライアルホールディングス,4,2391.0,1332400
スタンダード（内国株式）,1420.T,サンヨーホームズ,1,739.0,64100
プライム（内国株式）,1429.T,日本アクア,1,907.0,136300
グロース（内国株式）,142A.T,ジンジブ,1,934.0,27300
スタンダード（内国株式）,1430.T,ファーストコーポレーション,1,995.0,44900
グロース（内国株式）,1431.T,Ｌｉｂ　Ｗｏｒｋ,2,758.0,94900
プライム（内国株式）,1433.T,ベステラ,4,1068.0,185400
スタンダード（内国株式）,1434.T,ＪＥＳＣＯホールディングス,1,1333.0,123800
スタンダード（内国株式）,1435.T,ｒｏｂｏｔ　ｈｏｍｅ,1,198.0,478400
グロース（内国株式）,1436.T,グリーンエナジー＆カンパニー,1,2380.0,5600
スタンダード（内国株式）,1438.T,岐阜造園,1,2015.0,2000
グロース（内国株式）,143A.T,イシン,4,1036.0,6900
スタンダード（内国株式）,1443.T,技研ホールディングス,2,240.0,225100
グロース（内国株式）,1444.T,ニッソウ,1,2723.0,1000
スタンダード（内国株式）,1446.T,キャンディル,4,551.0,11300
グロース（内国株式）,1447.T,ＳＡＡＦホールディングス,4,260.0,16400
スタンダード（内国株式）,1450.T,ＴＡＮＡＫＥＮ,4,1403.0,23500
ETF・ETN,1456.T,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,4,2029.0,124779
ETF・ETN,1457.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数,4,2428.0,165190
ETF・ETN,1458.T,楽天ＥＴＦ‐日経レバレッジ指数連動型,1,41130.0,406919
ETF・ETN,1459.T,楽天ＥＴＦ‐日経ダブルインバース指数連動型,4,312.0,21110165
グロース（内国株式）,145A.T,Ｌ　ｉｓ　Ｂ,2,1267.0,57800
ETF・ETN,1466.T,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス,4,397.0,3662
ETF・ETN,1469.T,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,4,382.8999938964844,13620
スタンダード（内国株式）,146A.T,コロンビア・ワークス,1,3750.0,90600
ETF・ETN,1472.T,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,4,157.0,29245
ETF・ETN,1473.T,Ｏｎｅ　ＥＴＦ　トピックス,1,3197.0,49350
ETF・ETN,1474.T,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,1,28590.0,6044
ETF・ETN,1475.T,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,1,322.0,8379250
ETF・ETN,1476.T,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,1,1997.0,263830
ETF・ETN,1477.T,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,1,2824.0,137
ETF・ETN,1478.T,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,1,4187.0,66926
ETF・ETN,1479.T,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数,1,40000.0,7
グロース（内国株式）,147A.T,ソラコム,2,1017.0,75700
ETF・ETN,1480.T,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,1,30200.0,0
ETF・ETN,1481.T,上場インデックスファンド日本経済貢献株,1,3122.0,3
ETF・ETN,1482.T,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）,1,1658.0,52908
ETF・ETN,1483.T,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,1,3117.0,5
ETF・ETN,1484.T,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,1,3066.0,50
ETF・ETN,1485.T,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,1,44220.0,0
ETF・ETN,1486.T,上場インデックスファンド米国債券（為替ヘッジなし）,1,23245.0,243
ETF・ETN,1487.T,上場インデックスファンド米国債券（為替ヘッジあり）,1,12725.0,570
ETF・ETN,1488.T,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,1,1985.0,254626
ETF・ETN,1489.T,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,1,2580.0,578165
グロース（内国株式）,148A.T,ハッチ・ワーク,1,2510.0,15000
ETF・ETN,1490.T,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,1,7678.0,56
スタンダード（内国株式）,1491.T,中外鉱業,4,55.0,2788500
ETF・ETN,1493.T,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,1,21465.0,192
ETF・ETN,1494.T,Ｏｎｅ　ＥＴＦ　高配当日本株,1,36030.0,6080
ETF・ETN,1495.T,上場インデックスファンドアジアリート,1,11235.0,330
ETF・ETN,1496.T,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,1,1775.0,7684
ETF・ETN,1497.T,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,1,1839.0,19718
ETF・ETN,1498.T,Ｏｎｅ　ＥＴＦ　ＥＳＧ,1,24870.0,1249
ETF・ETN,1499.T,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,2,9100.0,336
グロース（内国株式）,149A.T,シンカ,4,925.0,3600
グロース（内国株式）,150A.T,ＪＳＨ,1,448.0,11200
スタンダード（内国株式）,1514.T,住石ホールディングス,4,609.0,310700
プライム（内国株式）,1515.T,日鉄鉱業,2,8260.0,48300
プライム（内国株式）,1518.T,三井松島ホールディングス,1,6590.0,41500
グロース（内国株式）,151A.T,ダイブ,4,781.0,83900
グロース（内国株式）,153A.T,カウリス,1,2488.0,1241300
ETF・ETN,1540.T,純金上場信託（現物国内保管型）,1,16780.0,345478
ETF・ETN,1541.T,純プラチナ上場信託（現物国内保管型）,1,6152.0,42609
ETF・ETN,1542.T,純銀上場信託（現物国内保管型）,1,19350.0,90034
ETF・ETN,1543.T,純パラジウム上場信託（現物国内保管型）,6,49550.0,572
ETF・ETN,1545.T,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動型上場投信,1,36410.0,40965
ETF・ETN,1546.T,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,1,66130.0,1500
ETF・ETN,1547.T,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,1,10660.0,34731
ETF・ETN,1550.T,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,1,6560.0,2357
ETF・ETN,1551.T,東証スタンダードＴＯＰ２０ＥＴＦ,1,6180.0,690
ETF・ETN,1554.T,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,1,5436.0,2556
ETF・ETN,1555.T,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ－ＲＥＩＴ）,1,2462.0,3609
ETF・ETN,1557.T,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ,1,97500.0,3258
ETF・ETN,1559.T,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,1,3560.0,541
グロース（内国株式）,155A.T,情報戦略テクノロジー,2,881.0,223100
ETF・ETN,1560.T,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,1,5333.0,193
ETF・ETN,1563.T,東証グロース・コアＥＴＦ,4,2405.0,22892
ETF・ETN,1566.T,上場インデックスファンド新興国債券,1,50900.0,843
ETF・ETN,1568.T,ＴＯＰＩＸブル２倍上場投信,1,605.2000122070312,9968120
ETF・ETN,1569.T,ＴＯＰＩＸベア上場投信,4,1019.5,126490
グロース（内国株式）,156A.T,マテリアルグループ,1,880.0,124200
ETF・ETN,1570.T,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,1,34660.0,6052536
ETF・ETN,1571.T,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,4,476.0,4152453
ETF・ETN,1572.T,中国Ｈ株ブル２倍上場投信,1,8470.0,27630
ETF・ETN,1573.T,中国Ｈ株ベア上場投信,4,7179.0,1370
ETF・ETN,1577.T,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,1,44240.0,6857
ETF・ETN,1578.T,上場インデックスファンド日経２２５（ミニ）,1,3591.0,46337
ETF・ETN,1579.T,日経平均ブル２倍上場投信,1,373.20001220703125,40755010
グロース（内国株式）,157A.T,グリーンモンスター,1,547.0,7900
ETF・ETN,1580.T,日経平均ベア上場投信,4,1265.5,1472360
ETF・ETN,1585.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,1,2151.0,200
ETF・ETN,1586.T,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,1,2542.0,529
ETF・ETN,1591.T,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,1,28385.0,8546
ETF・ETN,1592.T,上場インデックスファンドＪＰＸ日経インデックス４００,1,2591.0,28749
ETF・ETN,1593.T,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,1,29050.0,2472
ETF・ETN,1595.T,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,1,1981.0,179340
ETF・ETN,1596.T,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,1,2450.0,80
ETF・ETN,1597.T,ＭＡＸＩＳ　Ｊリート上場投信,1,1976.0,245721
ETF・ETN,1599.T,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００,1,28755.0,134
ETF・ETN,159A.T,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸプライム１５０指数連動型上場投信,1,583.0,28440
プライム（内国株式）,1605.T,ＩＮＰＥＸ,1,2613.0,8255800
スタンダード（内国株式）,160A.T,アズパートナーズ,2,3110.0,25800
ETF・ETN,1615.T,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,1,456.20001220703125,4555500
ETF・ETN,1617.T,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信,1,40060.0,24
ETF・ETN,1618.T,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,1,24495.0,548
ETF・ETN,1619.T,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信,1,37480.0,497
ETF・ETN,1620.T,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ－１７）上場投信,1,29870.0,213
ETF・ETN,1621.T,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信,1,26920.0,1349
ETF・ETN,1622.T,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ－１７）上場投信,1,32640.0,528
ETF・ETN,1623.T,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ－１７）上場投信,1,35800.0,293
ETF・ETN,1624.T,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信,1,67520.0,245
ETF・ETN,1625.T,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ－１７）上場投信,1,42350.0,677
ETF・ETN,1626.T,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ－１７）上場投信,1,43510.0,185
ETF・ETN,1627.T,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信,2,10000.0,3975
ETF・ETN,1628.T,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信,1,20895.0,129
ETF・ETN,1629.T,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ－１７）上場投信,1,100250.0,3367
ETF・ETN,162A.T,ＡＩセレクトメガトレンド　日本株（ネットリターン）ＥＴＮ,1,11605.0,1237
ETF・ETN,1630.T,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－１７）上場投信,1,34430.0,43
ETF・ETN,1631.T,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信,1,24420.0,12474
ETF・ETN,1632.T,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信,1,31980.0,1481
ETF・ETN,1633.T,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ－１７）上場投信,1,47370.0,318
ETF・ETN,163A.T,半導体フォーカス　日本株（ネットリターン）ＥＴＮ,1,10250.0,9649
ETF・ETN,1651.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ高配当４０指数,1,2403.0,25249
ETF・ETN,1652.T,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）,1,3714.0,4800
ETF・ETN,1653.T,ｉＦｒｅｅＥＴＦ　ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数,1,4043.0,3010
ETF・ETN,1654.T,ｉＦｒｅｅＥＴＦ　ＦＴＳＥ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ,1,2599.0,110
ETF・ETN,1655.T,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,1,706.0,1798510
ETF・ETN,1656.T,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ,1,299.3999938964844,34740
ETF・ETN,1657.T,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）ＥＴＦ,1,5869.0,1246
ETF・ETN,1658.T,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ,1,3270.0,1294
ETF・ETN,1659.T,ｉシェアーズ　米国リート　ＥＴＦ,1,3203.0,15611
グロース（内国株式）,165A.T,ＳＢＩレオスひふみ,1,214.0,323600
ETF・ETN,1660.T,ＭＡＸＩＳ高利回りＪリート上場投信,1,11220.0,9198
プライム（内国株式）,1662.T,石油資源開発,1,1270.0,1798200
プライム（内国株式）,1663.T,Ｋ＆Ｏエナジーグループ,2,3125.0,140300
グロース（内国株式）,166A.T,タスキホールディングス,1,771.0,827300
ETF・ETN,1671.T,ＷＴＩ原油価格連動型上場投信,4,3007.0,150747
ETF・ETN,1672.T,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,1,50140.0,866
ETF・ETN,1673.T,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,1,5714.0,14640
ETF・ETN,1674.T,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,1,18685.0,796
ETF・ETN,1675.T,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託,5,15510.0,723
ETF・ETN,1676.T,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託,1,32070.0,139
ETF・ETN,1677.T,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,1,56490.0,110
ETF・ETN,1678.T,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０　連動型上場投信,6,336.8999938964844,1090660
ETF・ETN,1679.T,Ｓｉｍｐｌｅ－Ｘ　ＮＹ　ダウ・ジョーンズ・インデックス上場投信,1,55680.0,30
プライム（内国株式）,167A.T,リョーサン菱洋ホールディングス,1,3045.0,331000
ETF・ETN,1680.T,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）,1,6757.0,3143
ETF・ETN,1681.T,上場インデックスファンド海外新興国株式（ＭＳＣＩ　エマージング）,1,2483.0,6983
ETF・ETN,1684.T,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託,4,1735.0,20
ETF・ETN,1685.T,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託,4,501.1000061035156,2630
ETF・ETN,1686.T,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託,5,2330.0,0
ETF・ETN,1687.T,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,1,877.0,12910
ETF・ETN,1688.T,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,6,486.20001220703125,25270
ETF・ETN,1689.T,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託,4,945.0,57608
グロース（内国株式）,168A.T,イタミアート,3,1208.0,122200
ETF・ETN,1690.T,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託,4,1412.5,230
ETF・ETN,1691.T,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託,1,7898.0,30
ETF・ETN,1692.T,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託,1,522.9000244140625,3300
ETF・ETN,1693.T,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託,4,5980.0,16420
ETF・ETN,1694.T,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託,1,2013.0,560
ETF・ETN,1695.T,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託,4,2663.0,4537
ETF・ETN,1696.T,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託,1,2760.0,1768
ETF・ETN,1697.T,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託,1,3837.0,1220
ETF・ETN,1698.T,上場インデックスファンド日本高配当（東証配当フォーカス１００）,1,3408.0,21674
ETF・ETN,1699.T,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ　原油インデックス連動型上場投信,5,387.29998779296875,237180
ETF・ETN,170A.T,ＳＭＴ　ＥＴＦ日本好配当株アクティブ,1,2295.0,244
スタンダード（内国株式）,1711.T,ＳＤＳホールディングス,1,318.0,164700
スタンダード（内国株式）,1712.T,ダイセキ環境ソリューション,3,1185.0,26800
スタンダード（内国株式）,1716.T,第一カッター興業,1,1330.0,29500
スタンダード（内国株式）,1717.T,明豊ファシリティワークス,1,1116.0,40600
スタンダード（内国株式）,1718.T,美樹工業,1,7710.0,5600
プライム（内国株式）,1719.T,安藤・間,2,1709.0,1154800
プライム（内国株式）,1720.T,東急建設,1,1145.0,379500
プライム（内国株式）,1721.T,コムシスホールディングス,1,3667.0,1772100
スタンダード（内国株式）,1723.T,日本電技,2,5170.0,332100
スタンダード（内国株式）,1724.T,シンクレイヤ,1,681.0,28100
プライム（内国株式）,1726.T,ビーアールホールディングス,1,347.0,93900
スタンダード（内国株式）,1736.T,オーテック,1,1785.0,1500
グロース（内国株式）,173A.T,ハンモック,1,1679.0,10900
スタンダード（内国株式）,1743.T,コーアツ工業,1,1820.0,3800
スタンダード（内国株式）,1757.T,創建エース,4,1.0,8667100
スタンダード（内国株式）,1758.T,太洋基礎工業,1,2256.0,8800
グロース（内国株式）,175A.T,Ｗｉｌｌ　Ｓｍａｒｔ,1,1253.0,25000
プライム（内国株式）,1762.T,高松コンストラクショングループ,1,3355.0,47200
スタンダード（内国株式）,1764.T,工藤建設,4,2680.0,700
プライム（内国株式）,1766.T,東建コーポレーション,1,14870.0,20100
スタンダード（内国株式）,1768.T,ソネック,1,1002.0,7300
グロース（内国株式）,176A.T,レジル,1,2745.0,34200
スタンダード（内国株式）,1770.T,藤田エンジニアリング,1,1619.0,1700
プライム（外国株式）,1773.T,ワイ・ティー・エル・コーポレーション・バーハッド,1,93.0,13000
スタンダード（内国株式）,1776.T,三井住建道路,4,1470.0,12900
グロース（内国株式）,177A.T,コージンバイオ,4,1552.0,16600
プライム（内国株式）,1780.T,ヤマウラ,1,1416.0,19800
スタンダード（内国株式）,1783.T,ｆａｎｔａｓｉｓｔａ,4,59.0,467500
プライム（内国株式）,1786.T,オリエンタル白石,1,429.0,474400
スタンダード（内国株式）,1787.T,ナカボーテック,4,5300.0,500
スタンダード（内国株式）,1788.T,三東工業社,1,3990.0,100
ETF・ETN,178A.T,グローバルＸ　革新的優良企業　ＥＴＦ,1,1389.0,41614
スタンダード（内国株式）,1793.T,大本組,1,1397.0,2800
スタンダード（内国株式）,1795.T,マサル,1,4480.0,1800
スタンダード（内国株式）,1798.T,守谷商会,1,5440.0,4700
スタンダード（内国株式）,1799.T,第一建設工業,2,3170.0,22600
ETF・ETN,179A.T,グローバルＸ　超長期米国債　ＥＴＦ（為替ヘッジあり）,1,268.3999938964844,723640
プライム（内国株式）,1801.T,大成建設,1,10335.0,1179900
プライム（内国株式）,1802.T,大林組,1,2469.5,4047800
プライム（内国株式）,1803.T,清水建設,1,2133.0,4623500
スタンダード（内国株式）,1807.T,佐藤渡辺,2,1754.0,5500
プライム（内国株式）,1808.T,長谷工コーポレーション,1,2520.0,1351100
ETF・ETN,180A.T,グローバルＸ　超長期米国債　ＥＴＦ,1,282.3999938964844,24160
スタンダード（内国株式）,1810.T,松井建設,1,1417.0,33900
スタンダード（内国株式）,1811.T,錢高組,1,6510.0,8800
プライム（内国株式）,1812.T,鹿島建設,1,4444.0,1941100
プライム（内国株式）,1813.T,不動テトラ,1,2664.0,45600
プライム（内国株式）,1814.T,大末建設,2,2490.0,54100
プライム（内国株式）,1815.T,鉄建建設,1,3505.0,129200
プライム（内国株式）,1820.T,西松建設,1,5301.0,153900
プライム（内国株式）,1821.T,三井住友建設,2,598.0,558400
スタンダード（内国株式）,1822.T,大豊建設,2,850.0,227400
スタンダード（内国株式）,1826.T,佐田建設,3,1192.0,30300
スタンダード（内国株式）,1827.T,ナカノフドー建設,1,870.0,63900
スタンダード（内国株式）,1828.T,田辺工業,4,2368.0,12300
ETF・ETN,182A.T,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジなし）,1,487.5,2140
プライム（内国株式）,1833.T,奥村組,2,4810.0,133700
プライム（内国株式）,1835.T,東鉄工業,1,4400.0,74300
ETF・ETN,183A.T,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジあり）,1,477.70001220703125,40
