市場・商品区分,銘柄コード,銘柄名,現在のステージ,最新終値,最新出来高
ETF・ETN,2552.T,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型（ミニ）,1,2096.0,2119
ETF・ETN,2553.T,Ｏｎｅ　ＥＴＦ　南方　中国Ａ株　ＣＳＩ５００,1,2126.0,66920
ETF・ETN,2554.T,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ米国投資適格社債（１－１０年）インデックス（為替ヘッジあり）連動型上場投信,1,787.0999755859375,3100
ETF・ETN,2555.T,東証ＲＥＩＴ　ＥＴＦ,1,2004.5,24730
ETF・ETN,2556.T,Ｏｎｅ　ＥＴＦ　東証ＲＥＩＴ指数,1,1993.5,47940
ETF・ETN,2557.T,ＳＭＤＡＭ　トピックス上場投信,1,3186.0,16180
ETF・ETN,2558.T,ＭＡＸＩＳ米国株式（Ｓ＆Ｐ５００）上場投信,1,28150.0,26196
ETF・ETN,2559.T,ＭＡＸＩＳ全世界株式（オール・カントリー）上場投信,1,23750.0,28397
スタンダード（内国株式）,255A.T,ジーエルテクノホールディングス,1,3125.0,7200
ETF・ETN,2560.T,ＭＡＸＩＳカーボン・エフィシェント日本株上場投信,1,42000.0,6
ETF・ETN,2561.T,ｉシェアーズ・コア　日本国債　ＥＴＦ,4,2177.0,95343
ETF・ETN,2562.T,上場インデックスファンド米国株式（ダウ平均）為替ヘッジあり,1,3270.0,10977
ETF・ETN,2563.T,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ（為替ヘッジあり）,1,362.0,1118050
ETF・ETN,2564.T,グローバルＸ　ＭＳＣＩスーパーディビィデンド－日本株式　ＥＴＦ,1,3172.0,710810
ETF・ETN,2565.T,グローバルＸ　ロジスティクス・Ｊ－ＲＥＩＴ　ＥＴＦ,1,911.0,13922
ETF・ETN,2566.T,上場インデックスファンド日経ＥＳＧリート,1,1110.0,1604
ETF・ETN,2567.T,ＮＺＡＭ　上場投信　Ｓ＆Ｐ／ＪＰＸカーボン・エフィシェント指数,1,416.20001220703125,10
ETF・ETN,2568.T,上場インデックスファンド米国株式（ＮＡＳＤＡＱ１００）為替ヘッジなし,1,6225.0,15112
ETF・ETN,2569.T,上場インデックスファンド米国株式（ＮＡＳＤＡＱ１００）為替ヘッジあり,1,3678.0,13121
プライム（内国株式）,256A.T,飛島ホールディングス,1,2186.0,155200
スタンダード（内国株式）,2573.T,北海道コカ・コーラボトリング,1,3550.0,5200
プライム（内国株式）,2579.T,コカ・コーラ　ボトラーズジャパンホールディングス,1,2660.0,628400
ETF・ETN,257A.T,ＳＭＴ　ＥＴＦ日本株厳選投資アクティブ,1,2485.0,425
プライム（内国株式）,2585.T,ライフドリンク　カンパニー,4,2299.0,3005100
グロース（内国株式）,2586.T,フルッタフルッタ,4,228.0,3710600
プライム（内国株式）,2587.T,サントリー食品インターナショナル,1,4685.0,1222600
スタンダード（内国株式）,2588.T,プレミアムウォーターホールディングス,1,3525.0,20800
ETF・ETN,258A.T,ＳＭＴ　ＥＴＦ国内リート厳選投資アクティブ,1,2203.0,537
プライム（内国株式）,2590.T,ダイドーグループホールディングス,4,2578.0,84400
プライム（内国株式）,2593.T,伊藤園,2,3456.0,298200
プライム（内国株式）,25935.T,伊藤園第１種優先株式,1,1815.0,26600
プライム（内国株式）,2594.T,キーコーヒー,1,2047.0,109100
スタンダード（内国株式）,2597.T,ユニカフェ,1,979.0,7400
プライム（内国株式）,2602.T,日清オイリオグループ,1,5300.0,120700
プライム（内国株式）,2607.T,不二製油,1,3520.0,251300
スタンダード（内国株式）,2612.T,かどや製油,1,3780.0,1600
