市場・商品区分,銘柄コード,銘柄名,現在のステージ,最新終値,最新出来高
プライム（内国株式）,9147.T,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス,1,3381.0,691100
グロース（内国株式）,9158.T,シーユーシー,2,1025.0,1516500
グロース（内国株式）,9159.T,Ｗ　ＴＯＫＹＯ,1,1748.0,3200
スタンダード（内国株式）,9160.T,ノバレーゼ,1,318.0,11700
グロース（内国株式）,9162.T,ブリーチ,1,367.0,172600
グロース（内国株式）,9163.T,ナレルグループ,1,2333.0,21000
グロース（内国株式）,9164.T,トライト,1,878.0,26700
グロース（内国株式）,9165.T,クオルテック,1,1581.0,5100
グロース（内国株式）,9166.T,ＧＥＮＤＡ,1,917.0,1468300
グロース（内国株式）,9168.T,ライズ・コンサルティング・グループ,1,1251.0,136000
スタンダード（内国株式）,9171.T,栗林商船,1,1121.0,4300
スタンダード（内国株式）,9173.T,東海汽船,1,2983.0,2300
スタンダード（内国株式）,9193.T,東京汽船,6,960.0,19300
プライム（内国株式）,9201.T,日本航空,1,3096.0,2359600
プライム（内国株式）,9202.T,ＡＮＡホールディングス,3,2820.0,2176300
グロース（内国株式）,9204.T,スカイマーク,4,483.0,78000
スタンダード（内国株式）,9206.T,スターフライヤー,1,2214.0,2500
グロース（内国株式）,9211.T,エフ・コード,1,2363.0,80800
グロース（内国株式）,9212.T,Ｇｒｅｅｎ　Ｅａｒｔｈ　Ｉｎｓｔｉｔｕｔｅ,1,407.0,17600
スタンダード（内国株式）,9213.T,セイファート,1,824.0,700
グロース（内国株式）,9214.T,Ｒｅｃｏｖｅｒｙ　Ｉｎｔｅｒｎａｔｉｏｎａｌ,6,1408.0,1700
グロース（内国株式）,9215.T,ＣａＳｙ,1,1007.0,3500
プライム（内国株式）,9216.T,ビーウィズ,1,1540.0,33500
グロース（内国株式）,9218.T,メンタルヘルステクノロジーズ,1,685.0,17100
グロース（内国株式）,9219.T,ギックス,1,924.0,2600
スタンダード（内国株式）,9220.T,エフビー介護サービス,1,1060.0,13300
スタンダード（内国株式）,9221.T,フルハシＥＰＯ,1,1128.0,3800
PRO Market,9222.T,ｍａｎａｂｙ,4,50.0,0
グロース（内国株式）,9223.T,ＡＳＮＯＶＡ,4,610.0,4700
グロース（内国株式）,9225.T,ブリッジコンサルティンググループ,1,1323.0,1100
グロース（内国株式）,9227.T,マイクロ波化学,1,617.0,472500
プライム（内国株式）,9229.T,サンウェルズ,1,803.0,292600
スタンダード（内国株式）,9233.T,アジア航測,1,1202.0,33300
グロース（内国株式）,9235.T,売れるネット広告社グループ,4,1360.0,62400
グロース（内国株式）,9236.T,ジャパンＭ＆Ａソリューション,4,1245.0,2600
