市場・商品区分,銘柄コード,銘柄名,現在のステージ,最新終値,最新出来高
プライム（内国株式）,1301.T,極洋,3,4395.0,149400
ETF・ETN,1305.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,1,3089.0,40800
ETF・ETN,1306.T,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,1,3051.0,741670
ETF・ETN,1308.T,上場インデックスファンドＴＯＰＩＸ,1,3015.0,107504
ETF・ETN,1309.T,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,1,45820.0,50
グロース（内国株式）,130A.T,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,1,873.0,1011300
ETF・ETN,1311.T,ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,1,1523.0,4670
ETF・ETN,1319.T,ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,1,571.0,1000
ETF・ETN,1320.T,ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,1,41620.0,18597
ETF・ETN,1321.T,ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,1,41790.0,105682
ETF・ETN,1322.T,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,1,8889.0,732
ETF・ETN,1325.T,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,3,200.8000030517578,30800
ETF・ETN,1326.T,ＳＰＤＲゴールド・シェア,1,45650.0,5581
ETF・ETN,1328.T,ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,1,11865.0,31230
ETF・ETN,1329.T,ｉシェアーズ・コア　日経２２５　ＥＴＦ,1,4225.0,201409
ETF・ETN,1330.T,上場インデックスファンド２２５,1,41810.0,23498
プライム（内国株式）,1332.T,ニッスイ,1,941.7999877929688,4383800
プライム（内国株式）,1333.T,マルハニチロ,1,3200.0,184500
ETF・ETN,133A.T,グローバルＸ　超短期米国債　ＥＴＦ,1,993.0,68142
ETF・ETN,1343.T,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,1,2041.5,457800
ETF・ETN,1345.T,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,1,1909.0,29500
ETF・ETN,1346.T,ＭＡＸＩＳ　日経２２５上場投信,1,41810.0,8892
ETF・ETN,1348.T,ＭＡＸＩＳ　トピックス上場投信,1,3041.0,26800
ETF・ETN,1349.T,ＡＢＦ汎アジア債券インデックス・ファンド,1,16810.0,12
ETF・ETN,1356.T,ＴＯＰＩＸベア２倍上場投信,4,242.5,1112390
ETF・ETN,1357.T,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,4,9670.0,1219482
ETF・ETN,1358.T,上場インデックスファンド日経レバレッジ指数,1,53330.0,9235
グロース（内国株式）,135A.T,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,4,2236.0,86300
ETF・ETN,1360.T,日経平均ベア２倍上場投信,4,237.6999969482422,25923230
ETF・ETN,1364.T,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,1,2736.0,10017
ETF・ETN,1365.T,ｉＦｒｅｅＥＴＦ　日経平均レバレッジ・インデックス,1,43430.0,23775
ETF・ETN,1366.T,ｉＦｒｅｅＥＴＦ　日経平均ダブルインバース・インデックス,4,244.0,3416423
ETF・ETN,1367.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸレバレッジ（２倍）指数,1,40770.0,2567
ETF・ETN,1368.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸダブルインバース（－２倍）指数,4,352.0,56756
ETF・ETN,1369.T,Ｏｎｅ　ＥＴＦ　日経２２５,1,40670.0,1042
プライム（内国株式）,1375.T,ユキグニファクトリー,1,1135.0,32900
スタンダード（内国株式）,1376.T,カネコ種苗,1,1391.0,6400
プライム（内国株式）,1377.T,サカタのタネ,1,3515.0,111600
プライム（内国株式）,1379.T,ホクト,1,1881.0,38900
グロース（内国株式）,137A.T,Ｃｏｃｏｌｉｖｅ,4,1345.0,11800
スタンダード（内国株式）,1380.T,秋川牧園,1,1019.0,1000
スタンダード（内国株式）,1381.T,アクシーズ,1,3005.0,2100
スタンダード（内国株式）,1382.T,ホーブ,4,1771.0,800
スタンダード（内国株式）,1383.T,ベルグアース,1,2985.0,300
スタンダード（内国株式）,1384.T,ホクリヨウ,1,1680.0,17900
グロース（内国株式）,138A.T,光フードサービス,1,2437.0,3000
ETF・ETN,1397.T,ＳＭＤＡＭ　日経２２５上場投信,1,40980.0,89
ETF・ETN,1398.T,ＳＭＤＡＭ　東証ＲＥＩＴ指数上場投信,1,1938.0,179810
ETF・ETN,1399.T,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ,1,2384.0,248
グロース（内国株式）,1401.T,エムビーエス,1,1261.0,77200
スタンダード（内国株式）,1407.T,ウエストホールディングス,4,1545.0,288800
ETF・ETN,140A.T,ｉＦｒｅｅＥＴＦ　米国１０年国債先物インバース,4,1964.0,102
プライム（内国株式）,1414.T,ショーボンドホールディングス,1,4895.0,139500
プライム（内国株式）,1417.T,ミライト・ワン,1,2815.0,266300
スタンダード（内国株式）,1418.T,インターライフホールディングス,1,417.0,26000
プライム（内国株式）,1419.T,タマホーム,1,3685.0,168100
グロース（内国株式）,141A.T,トライアルホールディングス,1,2439.0,674100
スタンダード（内国株式）,1420.T,サンヨーホームズ,1,690.0,8700
プライム（内国株式）,1429.T,日本アクア,1,837.0,76500
グロース（内国株式）,142A.T,ジンジブ,1,682.0,31900
スタンダード（内国株式）,1430.T,ファーストコーポレーション,1,911.0,47300
グロース（内国株式）,1431.T,Ｌｉｂ　Ｗｏｒｋ,1,756.0,60900
プライム（内国株式）,1433.T,ベステラ,1,1196.0,178600
スタンダード（内国株式）,1434.T,ＪＥＳＣＯホールディングス,1,1049.0,107800
スタンダード（内国株式）,1435.T,ｒｏｂｏｔ　ｈｏｍｅ,1,165.0,306200
グロース（内国株式）,1436.T,グリーンエナジー＆カンパニー,1,2326.0,4300
スタンダード（内国株式）,1438.T,岐阜造園,1,1928.0,700
グロース（内国株式）,143A.T,イシン,4,1041.0,7600
スタンダード（内国株式）,1443.T,技研ホールディングス,1,206.0,48600
グロース（内国株式）,1444.T,ニッソウ,4,2571.0,5100
スタンダード（内国株式）,1446.T,キャンディル,1,574.0,5400
グロース（内国株式）,1447.T,ＳＡＡＦホールディングス,1,283.0,45400
スタンダード（内国株式）,1450.T,ＴＡＮＡＫＥＮ,1,1464.0,4800
ETF・ETN,1456.T,ｉＦｒｅｅＥＴＦ　日経平均インバース・インデックス,4,2261.0,13714
ETF・ETN,1457.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸインバース（－１倍）指数,4,2615.0,8071
ETF・ETN,1458.T,楽天ＥＴＦ‐日経レバレッジ指数連動型,1,33480.0,289805
ETF・ETN,1459.T,楽天ＥＴＦ‐日経ダブルインバース指数連動型,4,389.0,9577976
グロース（内国株式）,145A.T,Ｌ　ｉｓ　Ｂ,1,1119.0,29500
ETF・ETN,1466.T,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００ダブルインバース・インデックス,4,455.0,2156
ETF・ETN,1469.T,ＪＰＸ日経４００ベア２倍上場投信（ダブルインバース）,4,441.0,3340
スタンダード（内国株式）,146A.T,コロンビア・ワークス,2,2637.0,27600
ETF・ETN,1472.T,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経４００ダブルインバース・インデックス連動型上場投信,4,180.0,7502
ETF・ETN,1473.T,Ｏｎｅ　ＥＴＦ　トピックス,1,2983.0,12680
ETF・ETN,1474.T,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００,1,26745.0,378
ETF・ETN,1475.T,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ,1,304.3999938964844,2034640
ETF・ETN,1476.T,ｉシェアーズ・コア　Ｊリート　ＥＴＦ,1,1957.0,106317
ETF・ETN,1477.T,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ,1,2723.0,597
ETF・ETN,1478.T,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ,1,4005.0,106786
ETF・ETN,1479.T,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株人材設備投資指数,1,37340.0,1
グロース（内国株式）,147A.T,ソラコム,1,936.0,102900
ETF・ETN,1480.T,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信,1,28790.0,12
ETF・ETN,1481.T,上場インデックスファンド日本経済貢献株,1,2974.0,1
ETF・ETN,1482.T,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）,1,1649.0,80521
ETF・ETN,1483.T,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ,1,2987.0,101
ETF・ETN,1484.T,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数,1,2936.5,1860
ETF・ETN,1485.T,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信,1,43600.0,0
ETF・ETN,1486.T,上場インデックスファンド米国債券（為替ヘッジなし）,1,22850.0,258
ETF・ETN,1487.T,上場インデックスファンド米国債券（為替ヘッジあり）,1,12650.0,1578
ETF・ETN,1488.T,ｉＦｒｅｅＥＴＦ　東証ＲＥＩＴ指数,1,1954.0,221406
ETF・ETN,1489.T,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,1,2367.0,456232
グロース（内国株式）,148A.T,ハッチ・ワーク,1,2665.0,11800
ETF・ETN,1490.T,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）,1,7561.0,22
スタンダード（内国株式）,1491.T,中外鉱業,1,63.0,1574600
ETF・ETN,1493.T,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型,1,20355.0,59
ETF・ETN,1494.T,Ｏｎｅ　ＥＴＦ　高配当日本株,1,34180.0,558
ETF・ETN,1495.T,上場インデックスファンドアジアリート,1,10605.0,32
ETF・ETN,1496.T,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）,1,1753.0,6579
ETF・ETN,1497.T,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）,1,1818.0,4340
ETF・ETN,1498.T,Ｏｎｅ　ＥＴＦ　ＥＳＧ,1,23050.0,464
ETF・ETN,1499.T,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信,4,9045.0,99
グロース（内国株式）,149A.T,シンカ,4,925.0,11700
グロース（内国株式）,150A.T,ＪＳＨ,4,427.0,1900
スタンダード（内国株式）,1514.T,住石ホールディングス,6,659.0,305200
プライム（内国株式）,1515.T,日鉄鉱業,1,7710.0,26300
プライム（内国株式）,1518.T,三井松島ホールディングス,1,6150.0,57000
グロース（内国株式）,151A.T,ダイブ,1,972.0,7900
グロース（内国株式）,153A.T,カウリス,1,1813.0,71400
ETF・ETN,1540.T,純金上場信託（現物国内保管型）,1,14980.0,228292
ETF・ETN,1541.T,純プラチナ上場信託（現物国内保管型）,2,5746.0,36157
ETF・ETN,1542.T,純銀上場信託（現物国内保管型）,2,16255.0,21873
ETF・ETN,1543.T,純パラジウム上場信託（現物国内保管型）,1,50440.0,282
ETF・ETN,1545.T,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００（為替ヘッジなし）連動型上場投信,1,34620.0,24466
ETF・ETN,1546.T,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価（為替ヘッジなし）連動型上場投信,1,63800.0,1662
ETF・ETN,1547.T,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）,1,10150.0,60382
ETF・ETN,1550.T,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信,1,6250.0,13240
ETF・ETN,1551.T,東証スタンダードＴＯＰ２０ＥＴＦ,1,5900.0,230
ETF・ETN,1554.T,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本,1,5176.0,1368
ETF・ETN,1555.T,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ－ＲＥＩＴ）,1,2322.0,945
ETF・ETN,1557.T,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ,1,93090.0,3853
ETF・ETN,1559.T,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信,1,3450.0,453
グロース（内国株式）,155A.T,情報戦略テクノロジー,1,909.0,4539800
ETF・ETN,1560.T,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信,1,5241.0,121
ETF・ETN,1563.T,東証グロース・コアＥＴＦ,6,2500.0,20604
ETF・ETN,1566.T,上場インデックスファンド新興国債券,1,50000.0,388
ETF・ETN,1568.T,ＴＯＰＩＸブル２倍上場投信,1,528.7000122070312,2685380
ETF・ETN,1569.T,ＴＯＰＩＸベア上場投信,4,1094.0,30220
グロース（内国株式）,156A.T,マテリアルグループ,1,807.0,39100
ETF・ETN,1570.T,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信,1,28245.0,3032727
ETF・ETN,1571.T,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信,4,530.0,1232499
ETF・ETN,1572.T,中国Ｈ株ブル２倍上場投信,1,7490.0,6190
ETF・ETN,1573.T,中国Ｈ株ベア上場投信,5,7583.0,690
ETF・ETN,1577.T,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信,1,40820.0,1270
ETF・ETN,1578.T,上場インデックスファンド日経２２５（ミニ）,1,3238.0,3807
ETF・ETN,1579.T,日経平均ブル２倍上場投信,1,303.79998779296875,23531240
グロース（内国株式）,157A.T,グリーンモンスター,1,584.0,125300
ETF・ETN,1580.T,日経平均ベア上場投信,4,1412.5,107580
ETF・ETN,1585.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,1,1902.0,400
ETF・ETN,1586.T,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,1,2310.0,65
ETF・ETN,1591.T,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信,1,26665.0,835
ETF・ETN,1592.T,上場インデックスファンドＪＰＸ日経インデックス４００,1,2426.0,677
ETF・ETN,1593.T,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信,1,27215.0,1047
ETF・ETN,1595.T,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数,1,1920.0,416650
ETF・ETN,1596.T,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ,1,2293.0,0
ETF・ETN,1597.T,ＭＡＸＩＳ　Ｊリート上場投信,1,1941.5,277230
ETF・ETN,1599.T,ｉＦｒｅｅＥＴＦ　ＪＰＸ日経４００,1,26890.0,90
ETF・ETN,159A.T,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸプライム１５０指数連動型上場投信,1,546.4000244140625,710
プライム（内国株式）,1605.T,ＩＮＰＥＸ,1,2117.0,3902700
スタンダード（内国株式）,160A.T,アズパートナーズ,1,2785.0,8200
ETF・ETN,1615.T,ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,1,410.29998779296875,2076800
ETF・ETN,1617.T,ＮＥＸＴ　ＦＵＮＤＳ　食品（ＴＯＰＩＸ－１７）上場投信,1,38650.0,1570
ETF・ETN,1618.T,ＮＥＸＴ　ＦＵＮＤＳ　エネルギー資源（ＴＯＰＩＸ－１７）上場投信,1,21025.0,220
ETF・ETN,1619.T,ＮＥＸＴ　ＦＵＮＤＳ　建設・資材（ＴＯＰＩＸ－１７）上場投信,1,34690.0,356
ETF・ETN,1620.T,ＮＥＸＴ　ＦＵＮＤＳ　素材・化学（ＴＯＰＩＸ－１７）上場投信,1,28445.0,3533
ETF・ETN,1621.T,ＮＥＸＴ　ＦＵＮＤＳ　医薬品（ＴＯＰＩＸ－１７）上場投信,1,26045.0,725
ETF・ETN,1622.T,ＮＥＸＴ　ＦＵＮＤＳ　自動車・輸送機（ＴＯＰＩＸ－１７）上場投信,1,30260.0,726
ETF・ETN,1623.T,ＮＥＸＴ　ＦＵＮＤＳ　鉄鋼・非鉄（ＴＯＰＩＸ－１７）上場投信,1,30800.0,114
ETF・ETN,1624.T,ＮＥＸＴ　ＦＵＮＤＳ　機械（ＴＯＰＩＸ－１７）上場投信,1,66140.0,66
ETF・ETN,1625.T,ＮＥＸＴ　ＦＵＮＤＳ　電機・精密（ＴＯＰＩＸ－１７）上場投信,1,39260.0,155
ETF・ETN,1626.T,ＮＥＸＴ　ＦＵＮＤＳ　情報通信・サービスその他（ＴＯＰＩＸ－１７）上場投信,1,41290.0,56
ETF・ETN,1627.T,ＮＥＸＴ　ＦＵＮＤＳ　電力・ガス（ＴＯＰＩＸ－１７）上場投信,1,9328.0,4368
ETF・ETN,1628.T,ＮＥＸＴ　ＦＵＮＤＳ　運輸・物流（ＴＯＰＩＸ－１７）上場投信,1,19805.0,91
ETF・ETN,1629.T,ＮＥＸＴ　ＦＵＮＤＳ　商社・卸売（ＴＯＰＩＸ－１７）上場投信,1,88260.0,238
ETF・ETN,162A.T,ＡＩセレクトメガトレンド　日本株（ネットリターン）ＥＴＮ,1,10725.0,40
ETF・ETN,1630.T,ＮＥＸＴ　ＦＵＮＤＳ　小売（ＴＯＰＩＸ－１７）上場投信,1,33710.0,29
ETF・ETN,1631.T,ＮＥＸＴ　ＦＵＮＤＳ　銀行（ＴＯＰＩＸ－１７）上場投信,1,22100.0,9156
ETF・ETN,1632.T,ＮＥＸＴ　ＦＵＮＤＳ　金融（除く銀行）（ＴＯＰＩＸ－１７）上場投信,1,30180.0,228
ETF・ETN,1633.T,ＮＥＸＴ　ＦＵＮＤＳ　不動産（ＴＯＰＩＸ－１７）上場投信,1,42760.0,196
ETF・ETN,163A.T,半導体フォーカス　日本株（ネットリターン）ＥＴＮ,2,8800.0,914
ETF・ETN,1651.T,ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ高配当４０指数,1,2214.0,65337
ETF・ETN,1652.T,ｉＦｒｅｅＥＴＦ　ＭＳＣＩ日本株女性活躍指数（ＷＩＮ）,1,3448.0,10
ETF・ETN,1653.T,ｉＦｒｅｅＥＴＦ　ＭＳＣＩジャパンＥＳＧセレクト・リーダーズ指数,1,3756.0,290
ETF・ETN,1654.T,ｉＦｒｅｅＥＴＦ　ＦＴＳＥ　Ｂｌｏｓｓｏｍ　Ｊａｐａｎ　Ｉｎｄｅｘ,1,2340.5,100
ETF・ETN,1655.T,ｉシェアーズ　Ｓ＆Ｐ　５００　米国株　ＥＴＦ,1,674.5,1776800
ETF・ETN,1656.T,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ,1,295.5,208490
ETF・ETN,1657.T,ｉシェアーズ・コア　ＭＳＣＩ　先進国株（除く日本）ＥＴＦ,1,5613.0,1320
ETF・ETN,1658.T,ｉシェアーズ・コア　ＭＳＣＩ　新興国株　ＥＴＦ,1,3030.0,9236
ETF・ETN,1659.T,ｉシェアーズ　米国リート　ＥＴＦ,2,3088.0,11819
グロース（内国株式）,165A.T,ＳＢＩレオスひふみ,2,198.0,320800
ETF・ETN,1660.T,ＭＡＸＩＳ高利回りＪリート上場投信,1,10945.0,12221
プライム（内国株式）,1662.T,石油資源開発,1,1075.0,665700
プライム（内国株式）,1663.T,Ｋ＆Ｏエナジーグループ,1,2963.0,178500
グロース（内国株式）,166A.T,タスキホールディングス,1,790.0,792800
ETF・ETN,1671.T,ＷＴＩ原油価格連動型上場投信,1,3066.0,179797
ETF・ETN,1672.T,ＷｉｓｄｏｍＴｒｅｅ　金上場投資信託,1,46140.0,633
ETF・ETN,1673.T,ＷｉｓｄｏｍＴｒｅｅ　銀上場投資信託,2,5027.0,2900
ETF・ETN,1674.T,ＷｉｓｄｏｍＴｒｅｅ　白金上場投資信託,2,17980.0,450
ETF・ETN,1675.T,ＷｉｓｄｏｍＴｒｅｅ　パラジウム上場投資信託,1,16205.0,538
ETF・ETN,1676.T,ＷｉｓｄｏｍＴｒｅｅ　貴金属バスケット上場投資信託,1,30560.0,21
ETF・ETN,1677.T,上場インデックスファンド海外債券（ＦＴＳＥ　ＷＧＢＩ）毎月分配型,1,56050.0,50
ETF・ETN,1678.T,ＮＥＸＴ　ＦＵＮＤＳ　インド株式指数・Ｎｉｆｔｙ　５０　連動型上場投信,3,340.3999938964844,2298880
ETF・ETN,1679.T,Ｓｉｍｐｌｅ－Ｘ　ＮＹ　ダウ・ジョーンズ・インデックス上場投信,1,53160.0,20
プライム（内国株式）,167A.T,リョーサン菱洋ホールディングス,1,2829.0,103500
ETF・ETN,1680.T,上場インデックスファンド海外先進国株式（ＭＳＣＩ－ＫＯＫＵＳＡＩ）,1,6421.0,1693
ETF・ETN,1681.T,上場インデックスファンド海外新興国株式（ＭＳＣＩ　エマージング）,1,2288.0,776
ETF・ETN,1684.T,ＷｉｓｄｏｍＴｒｅｅ　ブロード上場投資信託,1,1736.0,1320
ETF・ETN,1685.T,ＷｉｓｄｏｍＴｒｅｅ　エネルギー上場投資信託,3,506.0,2140
ETF・ETN,1686.T,ＷｉｓｄｏｍＴｒｅｅ　産業用金属上場投資信託,3,2260.0,550
ETF・ETN,1687.T,ＷｉｓｄｏｍＴｒｅｅ　農産物上場投資信託,3,851.5,1260
ETF・ETN,1688.T,ＷｉｓｄｏｍＴｒｅｅ　穀物上場投資信託,4,470.3999938964844,9640
ETF・ETN,1689.T,ＷｉｓｄｏｍＴｒｅｅ　天然ガス上場投資信託,4,1029.0,119737
グロース（内国株式）,168A.T,イタミアート,4,1007.0,2800
ETF・ETN,1690.T,ＷｉｓｄｏｍＴｒｅｅ　ＷＴＩ　原油上場投資信託,1,1439.0,2350
ETF・ETN,1691.T,ＷｉｓｄｏｍＴｒｅｅ　ガソリン上場投資信託,1,7645.0,17
ETF・ETN,1692.T,ＷｉｓｄｏｍＴｒｅｅ　アルミニウム上場投資信託,2,493.0,1600
ETF・ETN,1693.T,ＷｉｓｄｏｍＴｒｅｅ　銅上場投資信託,3,5817.0,25160
ETF・ETN,1694.T,ＷｉｓｄｏｍＴｒｅｅ　ニッケル上場投資信託,3,1977.0,570
ETF・ETN,1695.T,ＷｉｓｄｏｍＴｒｅｅ　小麦上場投資信託,4,2706.0,44116
ETF・ETN,1696.T,ＷｉｓｄｏｍＴｒｅｅ　とうもろこし上場投資信託,4,2620.0,7561
ETF・ETN,1697.T,ＷｉｓｄｏｍＴｒｅｅ　大豆上場投資信託,3,3620.0,400
ETF・ETN,1698.T,上場インデックスファンド日本高配当（東証配当フォーカス１００）,1,3178.0,2360
ETF・ETN,1699.T,ＮＥＸＴ　ＦＵＮＤＳ　ＮＯＭＵＲＡ　原油インデックス連動型上場投信,1,391.3999938964844,525470
ETF・ETN,170A.T,ＳＭＴ　ＥＴＦ日本好配当株アクティブ,1,2150.0,468
スタンダード（内国株式）,1711.T,ＳＤＳホールディングス,6,250.0,166800
スタンダード（内国株式）,1712.T,ダイセキ環境ソリューション,1,1197.0,72300
スタンダード（内国株式）,1716.T,第一カッター興業,1,1358.0,22100
スタンダード（内国株式）,1717.T,明豊ファシリティワークス,1,1048.0,22700
スタンダード（内国株式）,1718.T,美樹工業,1,7370.0,13400
プライム（内国株式）,1719.T,安藤・間,1,1646.0,591600
プライム（内国株式）,1720.T,東急建設,1,1072.0,297200
プライム（内国株式）,1721.T,コムシスホールディングス,1,3540.0,496900
スタンダード（内国株式）,1723.T,日本電技,1,5060.0,27400
スタンダード（内国株式）,1724.T,シンクレイヤ,1,660.0,5800
プライム（内国株式）,1726.T,ビーアールホールディングス,1,349.0,68100
スタンダード（内国株式）,1736.T,オーテック,1,1480.0,2200
グロース（内国株式）,173A.T,ハンモック,5,1636.0,2400
スタンダード（内国株式）,1743.T,コーアツ工業,1,1727.0,7900
スタンダード（内国株式）,1757.T,創建エース,4,13.0,1679400
スタンダード（内国株式）,1758.T,太洋基礎工業,1,1932.0,700
グロース（内国株式）,175A.T,Ｗｉｌｌ　Ｓｍａｒｔ,1,1138.0,54300
プライム（内国株式）,1762.T,高松コンストラクショングループ,1,3175.0,25100
スタンダード（内国株式）,1764.T,工藤建設,6,2764.0,800
プライム（内国株式）,1766.T,東建コーポレーション,1,14390.0,13800
スタンダード（内国株式）,1768.T,ソネック,1,963.0,7600
グロース（内国株式）,176A.T,レジル,1,2004.0,70100
スタンダード（内国株式）,1770.T,藤田エンジニアリング,1,1590.0,3500
プライム（外国株式）,1773.T,ワイ・ティー・エル・コーポレーション・バーハッド,1,87.0,16000
スタンダード（内国株式）,1776.T,三井住建道路,1,1582.0,27000
グロース（内国株式）,177A.T,コージンバイオ,1,1768.0,5200
プライム（内国株式）,1780.T,ヤマウラ,1,1366.0,40500
スタンダード（内国株式）,1783.T,ｆａｎｔａｓｉｓｔａ,1,59.0,2755700
プライム（内国株式）,1786.T,オリエンタル白石,1,397.0,430200
スタンダード（内国株式）,1787.T,ナカボーテック,1,5350.0,500
スタンダード（内国株式）,1788.T,三東工業社,1,3940.0,400
ETF・ETN,178A.T,グローバルＸ　革新的優良企業　ＥＴＦ,1,1242.0,7367
スタンダード（内国株式）,1793.T,大本組,1,1289.0,1300
スタンダード（内国株式）,1795.T,マサル,1,4255.0,100
スタンダード（内国株式）,1798.T,守谷商会,1,4015.0,100
スタンダード（内国株式）,1799.T,第一建設工業,1,3185.0,12100
ETF・ETN,179A.T,グローバルＸ　超長期米国債　ＥＴＦ（為替ヘッジあり）,1,269.20001220703125,31300
プライム（内国株式）,1801.T,大成建設,1,9437.0,619500
プライム（内国株式）,1802.T,大林組,1,2338.5,2710200
プライム（内国株式）,1803.T,清水建設,1,1731.5,2721500
スタンダード（内国株式）,1807.T,佐藤渡辺,1,1701.0,1500
プライム（内国株式）,1808.T,長谷工コーポレーション,1,2290.0,555800
ETF・ETN,180A.T,グローバルＸ　超長期米国債　ＥＴＦ,1,280.70001220703125,2650
スタンダード（内国株式）,1810.T,松井建設,1,1295.0,15800
スタンダード（内国株式）,1811.T,錢高組,1,4395.0,1700
プライム（内国株式）,1812.T,鹿島建設,1,3935.0,1481100
プライム（内国株式）,1813.T,不動テトラ,1,2421.0,69600
プライム（内国株式）,1814.T,大末建設,1,2406.0,80200
プライム（内国株式）,1815.T,鉄建建設,1,3260.0,23400
プライム（内国株式）,1820.T,西松建設,1,5154.0,125800
プライム（内国株式）,1821.T,三井住友建設,1,597.0,266700
スタンダード（内国株式）,1822.T,大豊建設,1,856.0,84800
スタンダード（内国株式）,1826.T,佐田建設,1,1196.0,72200
スタンダード（内国株式）,1827.T,ナカノフドー建設,1,745.0,38200
スタンダード（内国株式）,1828.T,田辺工業,1,2585.0,5300
ETF・ETN,182A.T,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジなし）,1,482.5,250340
プライム（内国株式）,1833.T,奥村組,1,4570.0,63600
プライム（内国株式）,1835.T,東鉄工業,1,4260.0,48300
ETF・ETN,183A.T,ＭＡＸＩＳ米国国債２０年超上場投信（為替ヘッジあり）,1,476.8999938964844,256070
スタンダード（内国株式）,1840.T,土屋ホールディングス,1,247.0,37700
